order_id,order_date,customer_email,product,category,quantity,unit_price,sales_channel,city
1,2025-03-23,,Headphones,,1,999,Online,
2,2025-02-24,customer2@email.com,Laptop,,1,999,Store,Pune
3,2025-03-25,,Laptop,Furniture,0,12999,mobile,delhi
4,2025-02-13, CUSTOMER4@EMAIL.COM ,Headphones,electronics,1,2499,Online,Bengaluru
5,2025-04-19,,  Laptop ,Electronics,0,2499,STORE,Delhi
6,2025-03-12,,Laptop,Furniture,,2499,,Bengaluru
7,2025-01-11,customer7@email.com,Mouse,Furniture,1,,online,Bengaluru
8,2025-01-27,customer8@email.com,Monitor,Furniture,2,12999,STORE,delhi
9,2025-02-04, CUSTOMER9@EMAIL.COM ,Laptop,Furniture,,12999,,Delhi
10,2025-04-14,,Mouse,Furniture,3,2499,mobile,delhi
11,2025-02-20, CUSTOMER11@EMAIL.COM ,  Laptop ,,3,12999,online,Pune
12,2025-03-16,,Desk Chair,,0,4999,STORE,Delhi
13,2025-04-07, CUSTOMER13@EMAIL.COM ,Webcam,,1,999,Online,delhi
14,2025-02-18,,Laptop,Electronics,3,7999,mobile,
15,2025-04-07,,,Electronics,,2499,mobile,Pune
16,2025-02-03,customer16@email.com,  Laptop ,,1,7999,Store,Mumbai
17,2025-02-17,customer17@email.com,Headphones,Accessories,1,,,Bengaluru
18,2025-01-31,customer18@email.com,Headphones,,1,999,,Mumbai
19,2025-01-17, CUSTOMER19@EMAIL.COM ,Webcam,Furniture,3,12999,Mobile,Pune
20,2025-03-30,,Mouse,electronics,,1499,Mobile,delhi
21,2025-01-16,customer21@email.com,Monitor,,1,1499,Store,Delhi
22,2025-01-10,customer22@email.com,Mouse,Electronics,,12999,Mobile,Mumbai
23,2025-02-05, CUSTOMER23@EMAIL.COM ,,Furniture,3,12999,,delhi
24,2025-04-14,customer24@email.com,Webcam,electronics,1,4999,STORE,Pune
25,2025-01-07,customer25@email.com,Headphones,Furniture,,12999,Store,Mumbai
26,2025-03-10,,Headphones,electronics,1,4999,,
27,2025-01-13,customer27@email.com,Monitor,Furniture,,999,STORE,delhi
28,2025/04/31,customer28@email.com,Keyboard,electronics,3,1499,online,delhi
29,2025-03-31,,Laptop,,0,12999,mobile,
30,2025-01-08,customer30@email.com,  Laptop ,Furniture,2,12999,Online,
31,2025-01-11,customer31@email.com,Monitor,electronics,1,,Online,
32,2025-02-01,customer32@email.com,  Laptop ,Accessories,0,7999,online,Mumbai
33,2025-03-27, CUSTOMER33@EMAIL.COM ,Keyboard,electronics,2,12999,online,Delhi
34,2025-01-02,customer34@email.com,Keyboard,Furniture,0,4999,online,Delhi
35,2025-04-23,,Keyboard,,2,1499,,Pune
36,2025-03-09,,Desk Chair,Accessories,,999,Online,Delhi
37,2025-04-06,,Mouse,Furniture,1,7999,mobile,Pune
38,2025-04-20,,Laptop,Electronics,0,2499,mobile,delhi
39,2025-04-17,customer39@email.com,Keyboard,Furniture,1,2499,mobile,delhi
40,2025-03-12,customer40@email.com,Desk Chair,,3,12999,Online,Bengaluru
41,2025-03-16,,Laptop,Accessories,1,7999,Store,Pune
42,2025-02-01,,Webcam,,1,12999,mobile,Mumbai
43,not a date, CUSTOMER43@EMAIL.COM ,Mouse,electronics,1,1499,,Pune
44,2025-04-21,,Webcam,Electronics,1,12999,,delhi
45,2025-01-29,,Monitor,Furniture,3,1499,Online,Pune
46,2025-01-25,,Keyboard,Accessories,2,4999,mobile,
47,2025-02-21,,Keyboard,Furniture,0,12999,Mobile,Bengaluru
48,2025-01-05,,Webcam,,0,999,Mobile,Delhi
49,2025-02-19,,  Laptop ,,1,7999,mobile,Pune
50,2025-05-01, CUSTOMER50@EMAIL.COM ,Mouse,,,12999,online,Pune
51,2025-04-19,,Mouse,electronics,,999,mobile,Bengaluru
